time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,nan,nan,nan,nan,nan,nan,nan,nan
0.200000,300.0000,0.0000,298.1690,8.9207,356.7576,20.2504,290.6382,8.6497
0.300000,300.0000,0.0000,299.3186,13.4583,390.9192,13.4275,291.5429,9.5386
0.400000,300.0000,0.0000,312.0318,20.3479,311.0938,8.6302,289.7812,16.2225
0.500000,300.0000,0.0000,297.3785,8.2769,380.3367,18.6386,289.2130,7.8221
0.600000,300.0000,0.0000,307.6524,17.3379,396.3029,15.3673,290.8207,13.2801
0.700000,300.0000,0.0000,296.1876,2.6454,357.8509,12.6679,290.3166,14.1242
0.800000,300.0000,0.0000,311.5488,11.9965,351.9871,20.1943,281.8623,10.7758
0.900000,300.0000,0.0000,305.0963,9.4526,291.6552,22.0776,284.1143,4.8875
1.000000,300.0000,0.0000,289.6737,8.5118,399.2793,36.3142,292.3925,11.2157
1.100000,300.0000,0.0000,302.9913,16.4064,351.1428,21.9474,283.4138,13.5075
1.200000,300.0000,0.0000,299.6966,3.6671,363.9967,5.1333,280.6063,8.9321
1.300000,300.0000,0.0000,308.2301,15.1382,335.5056,6.7914,293.3588,17.0923
1.400000,300.0000,0.0000,297.9393,11.7128,358.6697,4.9430,289.4480,6.2544
1.500000,300.0000,0.0000,293.0467,0.3624,415.3700,28.1350,295.8364,13.6660
1.600000,300.0000,0.0000,305.3385,7.6837,338.8917,28.8245,286.6643,5.3027
1.700000,300.0000,0.0000,308.5434,8.5755,365.6304,24.9310,288.5382,7.3125
1.800000,300.0000,0.0000,309.0467,4.4523,322.1226,13.1217,297.8701,18.7981
1.900000,300.0000,0.0000,302.1308,7.5558,396.0420,4.9502,293.3245,15.9710
2.000000,300.0000,0.0000,305.3120,23.6589,366.2551,7.2908,295.7474,7.3011
2.100000,300.0000,0.0000,307.3104,1.8067,344.0091,34.7909,292.2728,19.7704
2.200000,300.0000,0.0000,304.4986,11.9445,366.1502,37.4991,297.2502,8.5660
2.300000,300.0000,0.0000,304.2088,10.0135,357.9017,32.3148,291.1698,9.8200
2.400000,300.0000,0.0000,297.5985,11.3515,421.8395,21.5567,298.0756,5.6467
2.500000,300.0000,0.0000,306.6493,8.8943,343.9937,9.5169,299.2742,16.5424
2.600000,300.0000,0.0000,312.8387,8.5748,365.6985,15.9429,286.0042,15.9801
2.700000,300.0000,0.0000,302.7482,15.4133,354.9125,21.2087,299.9856,11.8428
2.800000,300.0000,0.0000,298.6822,9.7578,374.9568,39.1052,294.2968,12.4548
2.900000,300.0000,0.0000,295.3560,13.0488,383.0794,26.2168,297.6804,22.1476
3.000000,300.0000,0.0000,301.7983,12.3970,320.7152,32.1387,300.0114,14.9326
3.100000,300.0000,0.0000,304.7363,19.1381,368.2171,18.3017,286.6550,12.5469
3.200000,300.0000,0.0000,300.3172,12.9872,352.1510,19.6444,295.4097,18.9528
3.300000,300.0000,0.0000,296.7252,24.9361,397.3517,19.7822,295.6282,4.1389
3.400000,300.0000,0.0000,293.6012,23.2901,353.6411,17.7953,304.9096,21.6917
3.500000,300.0000,0.0000,304.0984,7.3838,336.5609,32.9104,294.9734,18.1649
3.600000,300.0000,0.0000,294.6348,16.0697,373.3424,22.1738,304.3419,12.7399
3.700000,300.0000,0.0000,303.4954,15.5398,361.3926,30.7969,291.3089,19.1355
3.800000,300.0000,0.0000,299.5615,15.8335,385.9027,16.4271,294.8864,14.4007
3.900000,300.0000,0.0000,306.7257,21.7757,330.1222,5.2997,294.2537,14.9745
4.000000,300.0000,0.0000,311.8141,16.9972,365.3806,23.6268,288.9888,20.3367
4.100000,300.0000,0.0000,293.4554,17.0116,379.2986,10.6275,307.2599,31.9022
4.200000,300.0000,0.0000,299.5249,15.6307,384.2655,37.4046,292.7870,20.7530
4.300000,300.0000,0.0000,300.8637,24.0230,364.5624,25.4182,292.4284,13.0873
4.400000,300.0000,0.0000,310.9443,21.5859,331.2492,38.0086,289.3267,12.3357
4.500000,300.0000,0.0000,309.3362,20.9450,377.6794,19.2583,285.1259,21.6416
4.600000,300.0000,0.0000,303.8849,29.5590,368.3413,6.9337,291.3631,18.0007
4.700000,300.0000,0.0000,305.6411,28.3831,384.1016,24.4145,293.2890,17.9592
4.800000,300.0000,0.0000,307.3352,26.1277,343.3105,22.7960,298.2251,22.4224
4.900000,300.0000,0.0000,300.4192,21.9165,355.8588,43.3880,304.1657,22.3413
5.000000,300.0000,0.0000,300.5162,22.4207,401.6018,23.7675,289.8666,21.6918
5.100000,300.0000,0.0000,303.7297,23.6010,369.2394,14.7225,290.7533,18.7856
5.200000,300.0000,0.0000,300.8772,21.8080,375.3910,19.7266,297.7483,14.9624
5.300000,300.0000,0.0000,309.6585,23.3494,328.5353,20.7849,290.5898,20.9161
5.400000,300.0000,0.0000,296.8644,19.2401,374.5718,39.7255,303.3388,20.3542
5.500000,300.0000,0.0000,300.7672,24.5665,390.2716,13.4353,294.2947,29.9465
5.600000,300.0000,0.0000,299.7496,14.1392,344.9486,19.4624,297.4143,23.9870
5.700000,300.0000,0.0000,299.0513,11.7222,362.2927,14.5333,293.6666,30.1850
5.800000,300.0000,0.0000,303.7348,15.5952,335.7026,22.4841,287.7561,16.1151
5.900000,300.0000,0.0000,288.0202,14.5380,411.4275,12.4107,294.2822,17.9073
6.000000,300.0000,0.0000,296.9299,12.0126,373.2879,16.6240,285.6260,12.6099
6.100000,300.0000,0.0000,297.8959,4.4678,343.4241,5.6875,286.4706,11.6901
6.200000,300.0000,0.0000,299.4492,11.4739,353.5734,13.5509,286.6688,6.7985
6.300000,300.0000,0.0000,303.5413,7.9550,345.4258,25.0129,286.5287,10.2597
6.400000,300.0000,0.0000,292.7584,15.1719,406.1535,31.5039,289.9382,9.9851
6.500000,300.0000,0.0000,299.5188,6.0565,324.4763,15.2289,294.2730,22.4435
6.600000,300.0000,0.0000,298.1366,11.4960,352.1010,7.0380,295.0258,15.2803
6.700000,300.0000,0.0000,303.1753,8.3020,353.6554,13.5664,283.0084,25.1227
6.800000,300.0000,0.0000,301.4411,6.0557,392.7667,1.3841,279.0773,20.7331
6.900000,300.0000,0.0000,294.9811,4.3534,400.6374,24.5609,296.9676,23.8182
7.000000,300.0000,0.0000,306.4966,6.8794,316.0865,25.4729,290.8234,18.8234
7.100000,300.0000,0.0000,296.0659,5.7295,384.8699,11.6212,295.4977,25.0088
7.200000,300.0000,0.0000,299.4036,7.3090,353.2750,9.4334,294.2729,13.2907
7.300000,300.0000,0.0000,301.2430,11.4955,403.5668,7.5525,287.2078,11.6092
7.400000,300.0000,0.0000,301.6998,9.9520,325.1273,7.5409,300.0085,21.0723
7.500000,300.0000,0.0000,299.2488,5.6504,333.8895,23.1291,295.6360,24.5366
7.600000,300.0000,0.0000,290.1504,17.2023,379.2117,9.6797,298.1926,11.8045
7.700000,300.0000,0.0000,294.7218,6.7794,366.9171,15.0053,297.6340,23.5302
7.800000,300.0000,0.0000,294.5708,6.6314,403.2846,19.2125,290.3218,23.1075
7.900000,300.0000,0.0000,303.6969,12.8586,315.5025,9.7904,291.2408,22.2863
8.000000,300.0000,0.0000,296.7046,10.2511,379.6153,13.9164,285.9600,9.1704
8.100000,300.0000,0.0000,291.5739,4.9908,377.3197,14.4254,297.5559,17.9581
8.200000,300.0000,0.0000,297.2507,18.7096,374.2625,6.8550,285.5152,6.4224
8.300000,300.0000,0.0000,297.3163,18.7295,335.8551,15.4082,289.9912,5.8504
8.400000,300.0000,0.0000,296.6861,14.8187,318.4314,20.7976,296.8041,1.3064
8.500000,300.0000,0.0000,290.9157,7.2497,381.5073,15.1020,293.8342,14.5518
8.600000,300.0000,0.0000,298.8353,3.0951,367.9446,11.2715,288.3987,18.3921
8.700000,300.0000,0.0000,292.5551,10.0333,379.4908,1.9090,291.6202,7.0389
8.800000,300.0000,0.0000,300.3251,12.1686,327.4673,14.3031,289.3505,8.1906
8.900000,300.0000,0.0000,295.8542,3.0649,366.4352,11.0129,283.0864,13.7196
9.000000,300.0000,0.0000,287.3996,20.1908,386.0038,22.8498,287.2313,3.6011
9.100000,300.0000,0.0000,287.4316,6.7831,353.2491,21.7465,283.2438,13.6404
9.200000,300.0000,0.0000,291.7171,4.1702,338.8943,28.3639,279.7899,19.7537
9.300000,300.0000,0.0000,298.6316,6.0737,329.3292,9.1722,275.7664,16.8338
9.400000,300.0000,0.0000,292.0646,9.0058,372.2971,9.2065,275.5133,11.4271
9.500000,300.0000,0.0000,280.8462,9.4238,369.2041,13.0264,295.1272,14.4332
9.600000,300.0000,0.0000,289.8040,8.1151,350.3338,16.0624,285.8168,8.9284
9.700000,300.0000,0.0000,300.1373,7.2235,336.3744,23.0858,271.4127,11.8328
9.800000,300.0000,0.0000,294.2532,7.3489,359.8963,31.3803,282.5184,11.6529
9.900000,300.0000,0.0000,291.3482,8.7407,380.2402,15.0841,287.4494,13.7541
10.000000,298.6094,0.7553,319.2492,8.3429,362.5144,16.4298,285.3244,7.9364
10.100000,297.5804,0.2508,462.2261,66.0836,813.8772,351.1095,287.7920,9.4218
10.200000,295.7763,0.7855,591.4475,145.8035,1160.3559,582.3033,278.5710,9.9932
10.300000,294.1592,3.1972,530.9843,119.9083,1605.3698,854.6053,278.9512,26.1901
10.400000,291.8042,4.7967,596.4559,174.7277,991.0793,334.6210,269.4437,21.0969
10.500000,290.8581,6.9424,553.4167,212.7220,1057.3864,79.6850,281.7538,27.5621
10.600000,288.2317,7.8997,570.6806,225.3331,726.5125,155.4424,263.1835,18.1089
10.700000,286.2014,8.3319,544.9064,221.4668,892.5587,326.4339,266.7726,13.2842
10.800000,283.6468,9.3660,420.8441,72.5905,1649.9297,995.2782,259.3964,19.6129
10.900000,281.2412,10.3117,424.0211,74.2460,1510.8506,840.1438,258.4473,19.4581
11.000000,277.8167,10.5622,415.6916,32.3270,1299.1597,673.8760,245.1427,13.0879
11.100000,276.1997,12.2992,729.2072,82.5212,918.5356,281.6344,260.8420,29.9241
11.200000,274.1060,13.3107,433.8118,122.8446,1282.4435,520.0990,254.4066,23.6136
11.300000,272.5836,14.5960,711.9478,65.9980,789.1316,314.6724,257.9930,26.9608
11.400000,270.5539,15.6055,498.7935,211.6968,1435.6172,421.5758,251.2474,25.8070
11.500000,266.9888,16.6783,591.5681,33.8700,934.3656,398.9125,232.9716,27.1965
11.600000,265.3552,17.8430,631.7590,220.2550,1022.9403,206.2882,250.0223,28.7715
11.700000,263.5060,19.4420,360.2134,9.5350,1287.8594,398.5900,245.8694,36.2487
11.800000,260.5098,20.5203,683.8291,158.2987,832.6694,285.5697,231.9327,30.9466
11.900000,257.3921,20.9151,346.9357,44.8751,1430.3884,409.8588,227.9601,24.7231
12.000000,255.1419,21.4126,618.6855,96.6822,755.7240,334.0541,233.7132,26.4466
12.100000,252.4211,22.3969,364.7841,56.8887,1284.0954,254.4482,226.4453,31.8021
12.200000,249.7961,23.2513,462.7134,72.9418,995.6327,457.6075,225.0179,31.2288
12.300000,246.7190,24.2800,513.2348,114.0594,931.7460,244.9161,217.4080,34.5105
12.400000,243.9064,24.2875,358.1993,19.3818,1177.8241,385.3646,217.0179,24.4809
12.500000,241.2927,24.5907,545.4306,113.9494,724.8360,210.4587,216.5796,27.6976
12.600000,238.8796,25.4371,285.9361,12.0110,1234.7294,279.6364,215.9341,33.9916
12.700000,236.5089,26.3893,531.7998,82.2052,709.7352,304.5606,213.8535,35.8143
12.800000,233.5480,27.7456,354.7951,69.9346,1053.6983,136.5283,205.5431,40.5895
12.900000,230.9821,28.2290,401.4360,41.2337,985.5731,353.9774,206.5224,33.0651
13.000000,228.5035,29.1248,396.9899,57.2277,816.6243,122.4733,204.8158,37.6730
13.100000,225.8863,29.7114,316.0669,58.3994,1081.6843,343.9866,201.1705,35.4011
13.200000,223.6754,30.6565,464.7143,83.3956,675.1803,244.2447,202.6392,40.0118
13.300000,221.4747,30.6452,264.9821,9.6200,1143.1536,229.3782,200.4452,30.7422
13.400000,219.3973,31.5342,419.5733,67.6678,804.2804,351.9744,199.7361,40.5412
13.500000,216.6875,32.5568,314.8302,28.7932,842.4728,88.2219,190.8449,42.6248
13.600000,214.1649,33.0170,374.4553,58.5055,924.7444,326.2649,190.0510,37.8908
13.700000,211.8260,33.3775,360.3377,75.1604,727.2851,116.8602,189.7103,36.6687
13.800000,209.7392,33.8951,278.2350,25.0426,1058.7331,192.7307,189.8719,39.1053
13.900000,207.7492,34.7517,383.7698,62.9798,610.3100,162.8975,188.7289,42.9228
14.000000,205.9633,35.5930,272.0269,13.3023,856.2500,28.4073,189.1233,43.4569
14.100000,204.0489,37.0556,358.3893,70.8937,800.1917,294.4854,185.8012,51.3134
14.200000,202.1311,38.0784,264.4375,12.1530,789.4223,29.6943,183.8053,47.8782
14.300000,200.5151,38.9562,304.0514,58.0228,858.3249,246.5158,185.3000,47.2053
14.400000,197.9181,39.0740,314.5203,44.4636,596.0462,104.0568,173.1702,40.2592
14.500000,195.5279,39.3857,271.9790,35.9424,909.1436,131.2660,172.6785,42.3590
14.600000,193.1629,39.6899,315.4317,62.8156,731.2033,238.3091,170.8039,42.5131
14.700000,190.5636,39.9084,249.5613,14.0671,774.2977,3.8515,165.8415,42.1300
14.800000,188.5329,40.3392,309.8761,63.0144,708.9514,209.8475,169.1018,44.4522
14.900000,186.9188,41.0505,253.9551,21.5236,648.1527,39.7172,171.6896,47.6898
15.000000,184.6695,41.5324,274.8428,43.8556,829.2854,128.0790,163.2406,46.2091
15.100000,182.6450,41.9521,260.1438,36.3174,623.8425,124.2485,163.2891,45.9988
15.200000,181.1166,42.2284,250.4311,34.2615,734.8025,26.9305,166.7093,44.8729
15.300000,179.5526,42.4594,274.7040,55.6971,631.6204,184.5791,164.6792,44.7495
15.400000,177.8360,42.6063,236.4268,23.2157,703.5743,24.2343,161.4404,44.0918
15.500000,175.6513,42.6483,264.8981,50.8070,726.7251,183.4832,154.9585,43.0552
15.600000,173.9549,42.6479,231.5943,28.3168,610.5037,73.4156,157.8124,42.7731
15.700000,172.2284,42.8349,258.9951,42.3703,708.9311,67.3509,155.7323,44.7007
15.800000,170.6539,43.4431,237.5415,38.9744,605.7066,145.6239,155.7853,49.2766
15.900000,169.2125,43.7098,231.9599,26.9785,695.7035,29.5109,155.4594,46.4516
16.000000,167.4869,43.4364,235.9719,52.5469,636.2549,170.6917,151.0122,40.8718
16.100000,165.8618,43.5820,220.8904,26.6255,618.8319,43.6975,150.4790,44.9671
16.200000,164.0907,43.3365,243.5600,45.0693,651.8716,88.3531,147.2334,41.4594
16.300000,162.3493,43.0038,217.3751,33.9582,577.5122,72.5353,145.7084,39.8308
16.400000,160.5425,42.8855,230.7672,37.1831,652.1051,54.2854,143.4272,41.6717
16.500000,159.4190,42.9348,207.0049,43.9839,590.3267,149.2505,148.7441,43.5149
16.600000,157.6630,42.5764,223.1082,29.7930,592.9363,40.1887,140.9138,39.2727
16.700000,156.1273,42.5874,212.8089,40.8340,572.7549,119.5274,141.5783,42.6799
16.800000,154.6556,42.3381,203.1139,35.5056,572.9739,38.3746,140.6517,40.0920
16.900000,153.2099,42.2822,206.8247,40.3862,612.2621,63.1215,139.3950,41.8241
17.000000,151.7052,42.2155,192.9533,41.6541,577.5415,110.9723,137.4727,41.5237
17.100000,150.4734,42.3019,205.2575,27.8623,548.7744,47.5121,138.7612,43.2345
17.200000,149.1759,42.4589,185.2949,39.4330,547.7923,127.8436,136.7809,43.9814
17.300000,147.9398,42.6774,190.3095,27.2192,557.2228,23.8150,136.2629,44.7318
17.400000,146.0787,42.1116,186.6701,38.3535,568.5266,73.9194,128.3637,36.7991
17.500000,144.1319,41.5913,191.9536,32.3688,492.2764,49.0543,125.5331,36.6404
17.600000,142.4104,41.0571,192.9820,32.0700,501.0512,48.6762,126.0995,35.8936
17.700000,140.9767,41.0883,175.7600,37.7748,511.4429,100.5489,127.3715,41.5988
17.800000,139.4782,40.9492,182.7753,27.8950,529.4307,18.4227,125.1622,39.7074
17.900000,137.7496,40.4948,175.0121,40.3010,511.3517,86.2693,121.3842,36.1373
18.000000,136.6508,40.4791,177.0182,30.8468,466.7199,28.2714,126.2356,40.5080
18.100000,135.2535,40.2955,169.5402,35.9369,500.5568,61.1249,121.9168,38.5708
18.200000,133.7266,40.0972,166.6268,37.9103,501.9312,61.6922,119.2589,38.2227
18.300000,132.6413,40.3645,165.6830,25.1474,497.6812,25.2328,122.3254,43.1530
18.400000,131.2745,40.1294,164.2230,39.8182,457.3657,74.7011,118.2275,38.0762
18.500000,130.0318,40.2805,170.6298,28.6819,452.6023,28.5450,118.2779,41.8205
18.600000,128.3320,39.6679,163.2178,41.1907,468.5896,58.0947,112.1489,33.9032
18.700000,126.8212,39.4767,167.7504,37.5322,467.4348,47.6427,112.3757,37.6759
18.800000,125.5296,39.4974,161.0306,30.5196,442.1312,33.4444,113.3147,39.6904
18.900000,124.4034,39.5445,160.6280,41.1980,439.2693,58.9922,113.6873,40.0762
19.000000,123.4126,39.5356,158.4066,30.7019,437.6644,44.4130,113.9386,39.4568
19.100000,122.3962,39.5329,150.1709,39.3792,450.8719,47.3901,112.7771,39.4465
19.200000,121.0819,39.1864,157.3028,38.5080,442.6920,48.0798,108.5854,35.9673
19.300000,120.0986,39.0754,147.8516,36.5790,412.9892,38.9017,110.6873,38.0071
19.400000,119.1322,39.1692,148.5739,37.2792,432.1206,40.8493,109.9843,40.0141
19.500000,118.1672,39.0614,145.9539,30.4356,417.0090,52.1576,108.9840,38.1194
19.600000,117.3449,39.1786,145.7763,42.0993,429.7505,46.8689,109.4807,40.3055
19.700000,116.5173,39.3950,145.3367,35.2056,415.4013,36.9203,108.6976,41.4610
19.800000,115.4204,39.2045,145.3685,42.0153,386.8308,43.4606,104.9719,37.4289
19.900000,114.6549,39.3283,142.9554,37.4324,404.2638,28.6571,107.3247,40.4973
20.000000,113.6825,39.3827,153.0502,30.9711,382.1102,48.9664,104.4805,39.8643
20.100000,112.7625,39.2404,267.4915,7.0661,814.7747,100.3856,104.0046,37.9380
20.200000,111.6407,38.9616,260.4251,23.9975,1813.6376,280.2853,101.0151,36.3576
20.300000,110.6404,38.9895,339.6189,50.6293,1210.4595,674.7057,101.0747,39.2507
20.400000,109.1220,38.3639,305.5632,27.9033,1077.9423,257.6146,94.7013,32.6203
20.500000,107.9356,38.2285,311.5325,18.8969,779.5920,235.4981,96.7046,37.1192
20.600000,106.2451,37.5772,290.4550,55.9507,735.2257,88.0420,90.1157,31.3945
20.700000,104.9514,37.2759,273.1275,45.7550,743.1706,147.6366,92.6889,34.3430
20.800000,103.4737,36.8968,254.0367,19.1056,948.9356,140.8854,89.4367,33.3970
20.900000,102.2508,36.7499,245.3004,15.6894,956.5976,251.2625,90.5539,35.3480
21.000000,101.0317,36.6289,216.9464,57.6259,1284.5020,500.9033,89.4922,35.4098
21.100000,99.7065,35.9155,619.9045,91.3606,897.6360,261.0731,87.1653,29.2254
21.200000,98.5837,35.4462,225.7255,69.2318,1185.0160,418.3090,87.8224,31.1099
21.300000,97.2678,34.8346,607.8449,97.3569,656.6831,217.9970,84.7438,29.0448
21.400000,95.9141,34.2553,353.0820,142.6048,1176.3199,221.7838,83.0410,28.7530
21.500000,94.4409,33.6179,440.3481,94.6700,838.0186,308.4989,80.4554,27.7109
21.600000,93.1654,33.1628,533.5467,178.6150,800.2417,63.2682,81.0285,28.8953
21.700000,91.9690,32.7346,180.5610,45.1320,1211.3366,284.3687,80.6317,28.6178
21.800000,90.4993,32.0901,609.2391,162.6029,585.3557,87.5925,76.4683,25.9596
21.900000,89.0036,31.3557,152.3916,17.5004,1215.0593,284.9301,74.8197,24.5054
22.000000,87.4854,30.7028,495.8225,154.2502,653.2077,263.7093,73.0785,24.4579
22.100000,86.1006,30.1930,241.0215,54.4156,884.5686,309.0542,72.8628,25.3155
22.200000,84.6668,29.5411,328.5178,63.7661,946.7130,191.2562,71.0655,23.4460
22.300000,83.3485,29.1051,423.2495,107.0957,535.3619,90.4929,70.8415,24.9547
22.400000,81.9084,28.5604,189.3838,55.1410,1006.6313,217.9700,68.1535,23.4520
22.500000,80.5802,28.1186,458.2197,142.8854,409.8014,61.5485,67.9799,24.0540
22.600000,79.3499,27.6099,146.6028,13.2418,802.4616,284.3544,67.6910,22.7281
22.700000,78.2158,27.2438,389.5475,129.8030,664.7874,223.4131,67.3743,23.7518
22.800000,76.8130,26.6084,207.2785,53.9099,550.2535,59.1721,63.4955,20.6528
22.900000,75.5872,26.0840,237.5434,73.2871,856.6358,201.3420,63.9602,21.0210
23.000000,74.5800,25.8077,277.9401,61.3021,427.2054,64.1110,64.9463,23.1956
23.100000,73.3419,25.3222,156.8971,3.0493,863.3086,204.8770,61.5835,20.7893
23.200000,72.1982,24.8726,321.8357,110.2312,569.7081,190.6533,61.3539,20.5288
23.300000,71.1650,24.5038,130.6040,26.1108,611.5201,213.5328,61.2875,21.0237
23.400000,70.0979,24.0314,281.1560,91.1865,687.7850,198.8418,59.9701,19.6254
23.500000,68.9032,23.3958,177.9645,20.2333,395.4801,73.0076,57.5669,17.2963
23.600000,67.7879,22.8919,216.9418,54.3501,724.1096,129.7761,57.1270,18.0872
23.700000,66.9189,22.5002,206.5505,69.8374,397.4009,72.4105,58.6853,18.8620
23.800000,65.8988,22.0264,140.2787,27.4846,568.0830,196.4060,56.2162,17.4742
23.900000,64.9182,21.4838,226.9447,79.6042,518.0037,180.9625,55.5467,16.3025
24.000000,63.9966,21.0456,129.1487,29.5550,405.1691,81.8907,55.2673,16.9643
24.100000,62.9616,20.3919,210.1454,58.4633,640.8374,107.2782,53.1380,14.1380
24.200000,62.0596,19.9934,126.2685,26.3753,379.2723,41.4770,53.4338,16.1736
24.300000,61.2031,19.6027,175.7301,28.1880,576.0373,163.6643,53.0850,15.9843
24.400000,60.4502,19.2651,155.1390,49.7966,452.2530,156.0646,53.3093,16.0133
24.500000,59.6679,18.8054,142.0881,27.6484,441.3087,163.1112,52.1940,14.4254
24.600000,58.8608,18.3688,156.6212,57.7316,576.2191,124.9888,51.2161,14.2857
24.700000,58.0607,17.9437,107.9978,33.8491,354.7711,28.6300,50.4642,13.8610
24.800000,57.2195,17.4815,168.9372,41.0663,511.4953,149.7646,49.1837,13.0659
24.900000,56.4062,17.1034,105.2997,34.7487,359.9560,61.5103,48.7015,13.5784
25.000000,55.6704,16.6764,150.7177,27.7767,413.3097,159.4535,48.6902,12.5705
25.100000,55.1281,16.4818,102.8681,32.9395,451.1817,113.0603,49.9373,14.6138
25.200000,54.4841,16.1639,131.2057,18.4687,301.4038,38.5562,48.3716,13.1818
25.300000,53.8979,15.9116,130.6489,28.5763,451.9133,128.3245,48.3356,13.4877
25.400000,53.2504,15.5424,99.3079,33.5889,329.5626,52.7188,47.0661,12.0227
25.500000,52.6104,15.1573,135.7570,31.5663,433.2124,100.5682,46.5485,11.5510
25.600000,52.0481,14.8822,78.8677,27.8555,397.6777,91.7384,46.7083,12.2538
25.700000,51.4891,14.5551,134.1770,25.1820,339.9696,111.6301,46.1475,11.4359
25.800000,50.9667,14.2349,81.2554,24.2305,432.8450,104.4145,46.0213,11.2413
